epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,44.1187,1.81368,2.49703,1.49658,0.94781,0.31316,0.66198,0.33103,1.4651,2.6874,1.45317,0.000648649,0.000648649,0.000648649
2,85.0756,1.66038,1.71217,1.4037,0.84121,0.54805,0.68242,0.36392,1.50642,2.24986,1.50885,0.00130658,0.00130658,0.00130658
3,125.996,1.71,1.75574,1.50649,0.68203,0.56897,0.5856,0.32122,1.61643,2.43212,1.55773,0.00195564,0.00195564,0.00195564
4,167.212,1.76568,1.72038,1.50191,0.66817,0.52586,0.65232,0.35257,1.72246,4.29011,1.70445,0.00196013,0.00196013,0.00196013
5,208.17,1.6831,1.75894,1.52488,0.62782,0.65517,0.61168,0.32381,1.59262,3.07222,1.67969,0.00194685,0.00194685,0.00194685
6,249.354,1.75087,1.64957,1.52848,0.80989,0.62436,0.69836,0.3947,2.23894,2.21022,2.64431,0.00193356,0.00193356,0.00193356
7,291.199,1.71451,1.58447,1.48316,0.66638,0.58547,0.63077,0.34754,1.7839,2.26911,1.85443,0.00192027,0.00192027,0.00192027
8,332.415,1.69735,1.49626,1.51057,0.90712,0.7578,0.8243,0.4303,1.63813,1.55941,1.8566,0.00190698,0.00190698,0.00190698
9,373.647,1.73326,1.5577,1.53549,0.8691,0.80172,0.85006,0.46073,1.57593,1.44564,1.76007,0.00189369,0.00189369,0.00189369
10,414.526,1.68465,1.47031,1.51763,0.90961,0.82759,0.85959,0.47979,1.54009,1.54649,1.71593,0.0018804,0.0018804,0.0018804
11,455.641,1.68471,1.4034,1.47948,0.84847,0.67583,0.75819,0.39379,1.63036,2.09642,1.69126,0.00186711,0.00186711,0.00186711
12,497.291,1.64721,1.45303,1.45766,0.93029,0.80533,0.85947,0.48789,1.47749,1.32932,1.5578,0.00185383,0.00185383,0.00185383
13,538.437,1.70642,1.36955,1.48507,0.80869,0.85345,0.82427,0.47535,1.50092,1.53558,1.54219,0.00184054,0.00184054,0.00184054
14,579.97,1.64716,1.24871,1.4132,0.90068,0.86207,0.88231,0.52856,1.40033,1.35855,1.46693,0.00182725,0.00182725,0.00182725
15,620.975,1.68202,1.53663,1.53687,0.85957,0.79152,0.82469,0.47821,1.50733,1.48451,1.55565,0.00181396,0.00181396,0.00181396
16,661.687,1.61571,1.3363,1.43625,0.87903,0.82759,0.8518,0.49375,1.54715,1.50617,1.58709,0.00180067,0.00180067,0.00180067
17,702.992,1.6543,1.3473,1.48067,0.90038,0.86207,0.87178,0.5104,1.50536,1.44808,1.53734,0.00178738,0.00178738,0.00178738
18,744.16,1.5932,1.26496,1.42188,0.91273,0.7931,0.86524,0.50011,1.45438,1.31337,1.58126,0.00177409,0.00177409,0.00177409
19,785.571,1.6543,1.30264,1.5011,0.91265,0.90068,0.89669,0.52931,1.38812,1.12782,1.51265,0.00176081,0.00176081,0.00176081
20,827.003,1.67656,1.34703,1.50089,0.95483,0.86207,0.87505,0.52567,1.40311,1.12504,1.48964,0.00174752,0.00174752,0.00174752
21,869.34,1.59725,1.30466,1.43969,0.92404,0.83901,0.87052,0.52848,1.3991,1.06325,1.46357,0.00173423,0.00173423,0.00173423
22,926.705,1.59956,1.22432,1.41164,0.95858,0.79804,0.84991,0.48616,1.52535,1.09278,1.5518,0.00172094,0.00172094,0.00172094
